ElectricStorage.size_kw,ElectricStorage.size_kwh,ElectricStorage.initial_capital_cost,ElectricUtility.lifecycle_emissions_tonnes_PM25,ElectricUtility.lifecycle_emissions_tonnes_SO2,ElectricUtility.lifecycle_emissions_tonnes_NOx,ElectricUtility.lifecycle_emissions_tonnes_CO2,ElectricTariff.lifecycle_fixed_cost_after_tax,ElectricTariff.lifecycle_energy_cost_after_tax,Site.total_renewable_energy_fraction,Site.annual_emissions_tonnes_PM25,PV.size_kw,PV.annual_energy_produced_kwh,PV.lcoe_per_kwh,PV.lifecycle_om_cost_after_tax,Financial.lcc,Financial.lifecycle_om_costs_after_tax,Financial.lifecycle_capital_costs_plus_om_after_tax,Financial.lifecycle_emissions_cost_health,Financial.lifecycle_outage_cost,Financial.initial_capital_costs_after_incentives,Financial.lifecycle_storage_capital_costs,Financial.lifecycle_om_costs_before_tax,Financial.lifecycle_emissions_cost_climate,Financial.lifecycle_fuel_costs_after_tax,Financial.lifecycle_capital_costs,Financial.replacements_future_cost_after_tax,Financial.developer_om_and_replacement_present_cost_after_tax
99.47,137.19,103409.5,1.62,17.33,17.33,25483.04,50593.04,1149853.49,0.194933,0.08,321.7874,407410.53,0.0906,162236.0,2783068.8622,162235.532,450843.5496,45.97,0.0,260225.0719,104148.7273,202794.415,854779.43,0.0,288608.0176,77307.9966,190618.4777
99.91,137.81,103873.5,1.63,17.4,17.4,25597.65,50593.04,1155025.24,0.194933,0.08,323.2347,409242.77,0.0906,162965.0,2795358.8584,162965.227,452871.3317,46.18,0.0,261395.4995,104617.1624,203706.5338,858624.02,0.0,289906.1046,77655.7087,191475.8322
104.39,143.98,108526.5,1.7,18.18,18.18,26743.82,50593.04,1206742.79,0.194933,0.08,337.7079,427567.08,0.0906,170262.0,2918258.8204,170262.1775,473149.1525,48.24,0.0,273099.7756,109301.5129,212827.7219,897069.87,0.0,302886.975,81132.83,200049.3769
149.12,205.68,155032.0,2.43,25.98,25.98,38205.45,50593.04,1723918.28,0.194933,0.11,482.4399,610810.11,0.0906,243232.0,4147258.4405,243231.6822,675927.3607,68.92,0.0,390142.5365,156145.0185,304039.6027,1281528.38,0.0,432695.6785,115904.0429,285784.8241
104.44,144.05,108579.0,1.7,18.19,18.19,26756.55,50593.04,1207317.43,0.194933,0.08,337.8687,427770.24,0.0906,170343.0,2919624.3755,170343.2547,473374.4616,48.27,0.0,273229.8231,109353.5613,212929.0684,897497.04,0.0,303031.2069,81171.4647,200144.6385
104.49,144.12,108631.5,1.7,18.2,18.2,26769.29,50593.04,1207892.07,0.194933,0.08,338.0296,427974.35,0.0906,170424.0,2920989.9307,170424.332,473599.7707,48.29,0.0,273359.8706,109405.6096,213030.415,897924.22,0.0,303175.4388,81210.0994,200239.9001
104.54,144.18,108679.0,1.7,18.21,18.21,26782.02,50593.04,1208466.71,0.194933,0.08,338.1904,428177.51,0.0906,170505.0,2922355.4858,170505.4092,473825.0798,48.31,0.0,273489.9181,109457.658,213131.7615,898351.39,0.0,303319.6706,81248.7341,200335.1617
104.59,144.25,108731.5,1.7,18.22,18.22,26794.76,50593.04,1209041.35,0.194933,0.08,338.3512,428381.62,0.0906,170586.0,2923721.0409,170586.4864,474050.389,48.34,0.0,273619.9656,109509.7063,213233.108,898778.57,0.0,303463.9025,81287.3688,200430.4233
104.64,144.32,108784.0,1.7,18.23,18.23,26807.49,50593.04,1209615.99,0.194933,0.08,338.512,428584.78,0.0906,170668.0,2925086.5961,170667.5636,474275.6981,48.36,0.0,273750.0131,109561.7546,213334.4546,899205.75,0.0,303608.1344,81326.0034,200525.6849
104.68,144.39,108833.0,1.7,18.24,18.24,26820.23,50593.04,1210190.63,0.194933,0.08,338.6728,428788.89,0.0906,170749.0,2926452.1512,170748.6409,474501.0072,48.38,0.0,273880.0606,109613.803,213435.8011,899632.92,0.0,303752.3663,81364.6381,200620.9466
104.73,144.46,108885.5,1.71,18.24,18.24,26832.96,50593.04,1210765.27,0.194933,0.08,338.8336,428992.05,0.0906,170830.0,2927817.7063,170829.7181,474726.3163,48.4,0.0,274010.1082,109665.8513,213537.1476,900060.1,0.0,303896.5982,81403.2728,200716.2082
104.78,144.53,108938.0,1.71,18.25,18.25,26845.7,50593.04,1211339.91,0.194933,0.08,338.9944,429196.15,0.0906,170911.0,2929183.2615,170910.7953,474951.6254,48.43,0.0,274140.1557,109717.8996,213638.4942,900487.28,0.0,304040.8301,81441.9075,200811.4698
104.83,144.6,108990.5,1.71,18.26,18.26,26858.43,50593.04,1211914.55,0.194933,0.08,339.1552,429399.32,0.0906,170992.0,2930548.8166,170991.8726,475176.9346,48.45,0.0,274270.2032,109769.948,213739.8407,900914.45,0.0,304185.062,81480.5422,200906.7314
99.96,137.88,103926.0,1.63,17.41,17.41,25610.39,50593.04,1155599.88,0.194933,0.08,323.3955,409445.94,0.0906,163046.0,2796724.4135,163046.3043,453096.6408,46.2,0.0,261525.547,104669.2107,203807.8803,859051.19,0.0,290050.3365,77694.3434,191571.0938
104.88,144.66,109038.0,1.71,18.27,18.27,26871.17,50593.04,1212489.19,0.194933,0.08,339.3161,429602.49,0.0906,171073.0,2931914.3717,171072.9498,475402.2437,48.47,0.0,274400.2507,109821.9963,213841.1872,901341.63,0.0,304329.2939,81519.1768,201001.993
104.93,144.73,109090.5,1.71,18.28,18.28,26883.9,50593.04,1213063.83,0.194933,0.08,339.4769,429806.59,0.0906,171154.0,2933279.9269,171154.027,475627.5528,48.5,0.0,274530.2982,109874.0447,213942.5338,901768.8,0.0,304473.5258,81557.8115,201097.2546
104.98,144.8,109143.0,1.71,18.29,18.29,26896.64,50593.04,1213638.47,0.194933,0.08,339.6377,430009.76,0.0906,171235.0,2934645.482,171235.1042,475852.8619,48.52,0.0,274660.3457,109926.093,214043.8803,902195.98,0.0,304617.7577,81596.4462,201192.5162
105.03,144.87,109195.5,1.71,18.3,18.3,26909.37,50593.04,1214213.11,0.194933,0.08,339.7985,430213.86,0.0906,171316.0,2936011.0371,171316.1815,476078.171,48.54,0.0,274790.3932,109978.1413,214145.2268,902623.16,0.0,304761.9896,81635.0809,201287.7778
105.08,144.94,109248.0,1.71,18.3,18.3,26922.11,50593.04,1214787.74,0.194933,0.08,339.9593,430417.03,0.0906,171397.0,2937376.5923,171397.2587,476303.4802,48.57,0.0,274920.4407,110030.1897,214246.5734,903050.33,0.0,304906.2215,81673.7156,201383.0394
105.13,145.01,109300.5,1.71,18.31,18.31,26934.84,50593.04,1215362.38,0.194933,0.08,340.1201,430621.13,0.0906,171478.0,2938742.1474,171478.3359,476528.7893,48.59,0.0,275050.4883,110082.238,214347.9199,903477.51,0.0,305050.4534,81712.3502,201478.301
105.18,145.08,109353.0,1.71,18.32,18.32,26947.58,50593.04,1215937.02,0.194933,0.08,340.2809,430824.29,0.0906,171559.0,2940107.7025,171559.4132,476754.0984,48.61,0.0,275180.5358,110134.2864,214449.2664,903904.68,0.0,305194.6853,81750.9849,201573.5626
105.23,145.14,109400.5,1.71,18.33,18.33,26960.32,50593.04,1216511.66,0.194933,0.08,340.4418,431028.4,0.0906,171640.0,2941473.2577,171640.4904,476979.4075,48.63,0.0,275310.5833,110186.3347,214550.613,904331.86,0.0,305338.9171,81789.6196,201668.8242
105.28,145.21,109453.0,1.71,18.34,18.34,26973.05,50593.04,1217086.3,0.194933,0.08,340.6026,431231.56,0.0906,171722.0,2942838.8128,171721.5676,477204.7166,48.66,0.0,275440.6308,110238.383,214651.9595,904759.04,0.0,305483.149,81828.2543,201764.0858
105.33,145.28,109505.5,1.71,18.35,18.35,26985.79,50593.04,1217660.94,0.194933,0.08,340.7634,431435.67,0.0906,171803.0,2944204.368,171802.6448,477430.0258,48.68,0.0,275570.6783,110290.4314,214753.306,905186.21,0.0,305627.3809,81866.889,201859.3475
